BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	14
Frequency:    	60 Hz
Frames:       	692
Start time:   	0.000

 Frame	  Time	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	l should.X	l should.Y	l should.Z	
    11	 0.183	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.068	    -0.044	     1.317	    -0.051	
    12	 0.200	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.068	    -0.044	     1.317	    -0.051	
    13	 0.217	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.068	    -0.044	     1.317	    -0.050	
    14	 0.233	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.068	    -0.044	     1.317	    -0.050	
    15	 0.250	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.068	    -0.044	     1.317	    -0.050	
    16	 0.267	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.067	    -0.044	     1.317	    -0.050	
    17	 0.283	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.117	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.067	    -0.044	     1.317	    -0.050	
    18	 0.300	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.117	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.067	    -0.044	     1.317	    -0.050	
    19	 0.317	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.067	    -0.044	     1.317	    -0.050	
    20	 0.333	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.067	    -0.044	     1.317	    -0.050	
